match,slot,team,p,adv
73,top,South Africa,1.0,0.0
73,bot,Canada,1.0,1.0
74,top,Germany,1.0,0.0
74,bot,Paraguay,1.0,1.0
75,top,Netherlands,1.0,0.0
75,bot,Morocco,1.0,1.0
76,top,Brazil,1.0,1.0
76,bot,Japan,1.0,0.0
77,top,France,1.0,1.0
77,bot,Sweden,1.0,0.0
78,top,Ivory Coast,1.0,0.0
78,bot,Norway,1.0,1.0
79,top,Mexico,1.0,1.0
79,bot,Ecuador,1.0,0.0
80,top,England,1.0,1.0
80,bot,DR Congo,1.0,0.0
81,top,United States,1.0,1.0
81,bot,Bosnia and Herzegovina,1.0,0.0
82,top,Belgium,1.0,1.0
82,bot,Senegal,1.0,0.0
83,top,Portugal,1.0,1.0
83,bot,Croatia,1.0,0.0
84,top,Spain,1.0,1.0
84,bot,Austria,1.0,0.0
85,top,Switzerland,1.0,1.0
85,bot,Algeria,1.0,0.0
86,top,Argentina,1.0,1.0
86,bot,Cape Verde,1.0,0.0
87,top,Colombia,1.0,1.0
87,bot,Ghana,1.0,0.0
88,top,Australia,1.0,0.0
88,bot,Egypt,1.0,1.0
89,top,Paraguay,1.0,0.0
89,bot,France,1.0,1.0
90,top,Canada,1.0,0.0
90,bot,Morocco,1.0,1.0
91,top,Brazil,1.0,0.0
91,bot,Norway,1.0,1.0
92,top,Mexico,1.0,0.0
92,bot,England,1.0,1.0
93,top,Portugal,1.0,0.0
93,bot,Spain,1.0,1.0
94,top,United States,1.0,0.0
94,bot,Belgium,1.0,1.0
95,top,Argentina,1.0,1.0
95,bot,Egypt,1.0,0.0
96,top,Switzerland,1.0,1.0
96,bot,Colombia,1.0,0.0
97,top,France,1.0,1.0
97,bot,Morocco,1.0,0.0
98,top,Spain,1.0,1.0
98,bot,Belgium,1.0,0.0
99,top,Norway,1.0,0.0
99,bot,England,1.0,1.0
100,top,Argentina,1.0,1.0
100,bot,Switzerland,1.0,0.0
101,top,France,1.0,0.3619
101,bot,Spain,1.0,0.6381
102,top,England,1.0,0.3437
102,bot,Argentina,1.0,0.6563
104,top,Spain,0.6381,0.3602
104,bot,Argentina,0.6563,0.3505
