team,cohesion_z
Algeria,-0.7125
Argentina,0.3218
Australia,-0.5056
Austria,-0.5746
Belgium,-0.1609
Bosnia and Herzegovina,-0.7125
Brazil,-0.2298
Canada,-0.5056
Cape Verde,-0.8504
Colombia,-0.7125
Croatia,-0.7125
Curaçao,-0.5746
Czech Republic,2.8729
DR Congo,-0.7125
Ecuador,-0.5746
Egypt,1.5629
England,0.3907
France,0.1149
Germany,1.1492
Ghana,-0.5746
Haiti,-0.7814
Iran,0.5286
Iraq,-0.2988
Ivory Coast,-0.7814
Japan,-0.6435
Jordan,1.0802
Mexico,-0.0919
Morocco,-0.7125
Netherlands,-0.1609
New Zealand,0.046
Norway,-0.5056
Panama,-0.6435
Paraguay,-0.5056
Portugal,0.1149
Qatar,1.9076
Saudi Arabia,2.3213
Scotland,-0.5746
Senegal,-0.5746
South Africa,3.0108
South Korea,-0.5056
Spain,1.7008
Sweden,-0.8504
Switzerland,-0.7125
Tunisia,-0.7125
Turkey,1.2181
United States,-0.7125
Uruguay,-0.5056
Uzbekistan,0.046
