team,fatigue_z
Algeria,-0.6154
Argentina,0.6091
Australia,-0.3392
Austria,-0.398
Belgium,0.5695
Bosnia and Herzegovina,0.278
Brazil,0.9839
Canada,-1.5281
Cape Verde,0.0
Colombia,0.7462
Croatia,0.53
Curaçao,0.0
Czech Republic,0.7445
DR Congo,-1.6176
Ecuador,-1.1926
Egypt,0.0029
England,1.775
France,1.7882
Germany,1.0676
Ghana,0.0088
Haiti,0.2807
Iran,0.0
Iraq,0.0
Ivory Coast,-0.2351
Japan,0.0201
Jordan,1.0958
Mexico,-0.6737
Morocco,-1.5572
Netherlands,1.0317
New Zealand,-2.6865
Norway,0.6033
Panama,-1.0361
Paraguay,0.7797
Portugal,1.6508
Qatar,0.0
Saudi Arabia,-1.6021
Scotland,-1.8282
Senegal,-0.2137
South Africa,-0.4039
South Korea,0.096
Spain,1.3516
Sweden,0.6684
Switzerland,0.7023
Tunisia,-0.6386
Turkey,-0.261
United States,0.7668
Uruguay,0.3995
Uzbekistan,-1.7234
