tournament,xi,n,ll
WC2014,0.0005,64,0.9079909473816477
WC2014,0.001,64,0.9075056462419371
WC2014,0.0015,64,0.9068605082057857
WC2014,0.0018,64,0.9065987741511526
WC2014,0.0022,64,0.9063726926809029
WC2014,0.0027,64,0.9062023616767899
WC2014,0.0033,64,0.906042534742848
WC2014,0.004,64,0.9058053616688588
WC2014,0.005,64,0.9052768895833823
WC2018,0.0005,64,0.9710934147496355
WC2018,0.001,64,0.9723466780051655
WC2018,0.0015,64,0.9733060009254391
WC2018,0.0018,64,0.9737951406519698
WC2018,0.0022,64,0.9743687925302673
WC2018,0.0027,64,0.9749733686171955
WC2018,0.0033,64,0.9755589184490361
WC2018,0.004,64,0.9760822837517588
WC2018,0.005,64,0.9766113203292479
WC2022,0.0005,64,1.0778838136813766
WC2022,0.001,64,1.0757744038298163
WC2022,0.0015,64,1.074058333846282
WC2022,0.0018,64,1.073162859561728
WC2022,0.0022,64,1.072097467136532
WC2022,0.0027,64,1.0709249114515427
WC2022,0.0033,64,1.0696909700670751
WC2022,0.004,64,1.0684181991681907
WC2022,0.005,64,1.0668188704174255
Euro2016,0.0005,51,1.0728217922423928
Euro2016,0.001,51,1.0736589522474003
Euro2016,0.0015,51,1.0752482500978984
Euro2016,0.0018,51,1.0762745899636454
Euro2016,0.0022,51,1.0776875941217359
Euro2016,0.0027,51,1.0794996877203225
Euro2016,0.0033,51,1.0816826422072456
Euro2016,0.004,51,1.0841501473441144
Euro2016,0.005,51,1.0873866457283545
Euro2021,0.0005,51,0.924728261813432
Euro2021,0.001,51,0.9242469983477787
Euro2021,0.0015,51,0.9240069593259281
Euro2021,0.0018,51,0.923911803661511
Euro2021,0.0022,51,0.9238318068067027
Euro2021,0.0027,51,0.9237984113779049
Euro2021,0.0033,51,0.9238342110408544
Euro2021,0.004,51,0.9239441029894232
Euro2021,0.005,51,0.9241624568000685
Euro2024,0.0005,51,1.0328975523978758
Euro2024,0.001,51,1.0294788089071019
Euro2024,0.0015,51,1.0273573273266827
Euro2024,0.0018,51,1.0263869521501066
Euro2024,0.0022,51,1.0253155998863022
Euro2024,0.0027,51,1.0242228943309828
Euro2024,0.0033,51,1.0231781042757604
Euro2024,0.004,51,1.022215835453915
Euro2024,0.005,51,1.021193201309864
